org_code,org_name,month,within_4hrs,attendances,admissions
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2025-02-01,0.5436295503211992,22416,5040
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2025-03-01,0.6077811165585956,25292,5886
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2025-04-01,0.5625617385577872,24296,5679
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2025-05-01,0.5782259948602133,25682,5790
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2025-06-01,0.5713073691014867,24752,5660
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2025-07-01,0.6173381707084209,26185,6168
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2025-08-01,0.5781773977196513,23856,5813
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2025-09-01,0.5659305993690852,25360,5734
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2025-10-01,0.5898529252339826,27673,6103
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2025-11-01,0.6078309052878794,27251,5949
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2025-12-01,0.6215464421305867,26603,6044
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2026-01-01,0.5905709051482408,26747,6111
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2026-02-01,0.6028097062579821,24273,5443
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2026-03-01,0.664331776740049,26982,6105
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2026-04-01,0.6616399622997172,26525,5770
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2026-05-01,0.6227465345112404,27846,5880
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2025-02-01,0.48233056361998194,9989,3877
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2025-03-01,0.5802146035069353,11463,4487
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2025-04-01,0.5162108313711284,11042,4246
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2025-05-01,0.5552531301034296,11022,4357
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2025-06-01,0.5207865672981953,11137,4313
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2025-07-01,0.5727488777396357,11361,4327
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2025-08-01,0.5056282602727189,10927,4241
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2025-09-01,0.5565899963490325,10956,4289
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2025-10-01,0.5254310344827586,11600,4405
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2025-11-01,0.5130368098159509,11736,4606
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2025-12-01,0.4998264190244749,11522,4709
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2026-01-01,0.47117595048629535,11310,4654
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2026-02-01,0.48760968084080614,10371,4199
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2026-03-01,0.648266897746967,11540,4956
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2026-04-01,0.6365162252890713,10724,4627
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2026-05-01,0.6485981308411215,11235,4840
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,2025-02-01,0.5868243243243243,11840,3751
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,2025-03-01,0.6085243030214567,13702,4209
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,2025-04-01,0.5895839437445063,13652,4326
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,2025-05-01,0.595361716857044,14445,4319
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,2025-06-01,0.6112922951487973,14718,4087
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,2025-07-01,0.6151150489288548,15124,4258
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,2025-08-01,0.6155529717529581,14621,4301
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,2025-09-01,0.6006346001298046,13867,4186
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,2025-10-01,0.583868517367585,14481,4219
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,2025-11-01,0.5655777332688722,14479,4286
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,2025-12-01,0.5637899986147665,14438,4387
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,2026-01-01,0.5268899923071544,14299,4284
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,2026-02-01,0.5482358195623046,13434,3880
